Time (sec) ,  Temperature (C) ,measured,,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
516,120.1,2.12,,,,,,,,,,,
517,120.2,2.12,,,,,,,,,,,
518,120.3,2.12,,,,,,,,,,,
519,120.5,2.12,,,,,,,,,,,
520,120.6,2.12,,,,,,,,,,,
521,120.8,2.12,,,,,,,,,,,
522,120.9,2.12,,,,,,,,,,,
523,121,2.12,,,,,,,,,,,
524,121.1,2.12,,,,,,,,,,,
525,121.3,2.12,,,,,,,,,,,
526,121.4,2.12,,,,,,,,,,,
527,121.6,2.12,,,,,,,,,,,
528,121.7,2.12,,,,,,,,,,,
529,121.8,2.12,,,,,,,,,,,
530,121.9,2.12,,,,,,,,,,,
531,122.1,2.12,,,,,,,,,,,
532,122.2,2.13,,,,,,,,,,,
533,122.3,2.13,,,,,,,,,,,
534,122.5,2.12,,,,,,,,,,,
535,122.6,2.13,,,,,,,,,,,
536,122.7,2.12,,,,,,,,,,,
537,122.9,2.12,,,,,,,,,,,
538,123,2.12,,,,,,,,,,,
539,123.1,2.12,,,,,,,,,,,
540,123.2,2.11,,,,,,,,,,,
541,123.4,2.11,,,,,,,,,,,
542,123.5,2.11,,,,,,,,,,,
543,123.6,2.11,,,,,,,,,,,
544,123.8,2.1,,,,,,,,,,,
545,123.9,2.1,,,,,,,,,,,
546,124,2.1,,,,,,,,,,,
547,124.1,2.1,,,,,,,,,,,
548,124.2,2.1,,,,,,,,,,,
549,124.4,2.09,,,,,,,,,,,
550,124.5,2.09,,,,,,,,,,,
551,124.6,2.09,,,,,,,,,,,
552,124.8,2.09,,,,,,,,,,,
553,124.9,2.08,,,,,,,,,,,
554,125,2.08,,,,,,,,,,,
555,125.1,2.08,,,,,,,,,,,
556,125.3,2.08,,,,,,,,,,,
557,125.4,2.07,,,,,,,,,,,
558,125.5,2.06,,,,,,,,,,,
559,125.6,2.06,,,,,,,,,,,
560,125.7,2.05,,,,,,,,,,,
561,125.9,2.05,,,,,,,,,,,
562,126,2.04,,,,,,,,,,,
563,126.1,2.04,,,,,,,,,,,
564,126.3,2.03,,,,,,,,,,,
565,126.4,2.02,,,,,,,,,,,
566,126.5,2.02,,,,,,,,,,,
567,126.6,2.01,,,,,,,,,,,
568,126.8,2.01,,,,,,,,,,,
569,126.9,2,,,,,,,,,,,
570,127,2,,,,,,,,,,,
571,127.1,1.99,,,,,,,,,,,
572,127.2,1.99,,,,,,,,,,,
573,127.4,1.99,,,,,,,,,,,
574,127.5,1.98,,,,,,,,,,,
575,127.6,1.98,,,,,,,,,,,
576,127.7,1.97,,,,,,,,,,,
577,127.9,1.97,,,,,,,,,,,
578,128,1.97,,,,,,,,,,,
579,128.1,1.96,,,,,,,,,,,
580,128.2,1.96,,,,,,,,,,,
581,128.3,1.95,,,,,,,,,,,
582,128.5,1.95,,,,,,,,,,,
583,128.6,1.94,,,,,,,,,,,
584,128.7,1.94,,,,,,,,,,,
585,128.8,1.94,,,,,,,,,,,
586,129,1.93,,,,,,,,,,,
587,129.1,1.93,,,,,,,,,,,
588,129.2,1.93,,,,,,,,,,,
589,129.3,1.92,,,,,,,,,,,
590,129.4,1.92,,,,,,,,,,,
591,129.5,1.92,,,,,,,,,,,
592,129.7,1.92,,,,,,,,,,,
593,129.8,1.91,,,,,,,,,,,
594,129.9,1.91,,,,,,,,,,,
595,130,1.91,,,,,,,,,,,
596,130.1,1.9,,,,,,,,,,,
597,130.3,1.9,,,,,,,,,,,
598,130.4,1.9,,,,,,,,,,,
599,130.5,1.9,,,,,,,,,,,
600,130.6,1.9,,,,,,,,,,,
601,130.8,1.9,,,,,,,,,,,
602,130.9,1.89,,,,,,,,,,,
603,131,1.89,,,,,,,,,,,
604,131.1,1.89,,,,,,,,,,,
605,131.2,1.89,,,,,,,,,,,
606,131.3,1.88,,,,,,,,,,,
607,131.5,1.88,,,,,,,,,,,
608,131.6,1.88,,,,,,,,,,,
609,131.7,1.88,,,,,,,,,,,
610,131.8,1.88,,,,,,,,,,,
611,131.9,1.88,,,,,,,,,,,
612,132.1,1.88,,,,,,,,,,,
613,132.2,1.88,,,,,,,,,,,
614,132.3,1.88,,,,,,,,,,,
615,132.4,1.88,,,,,,,,,,,
616,132.5,1.88,,,,,,,,,,,
617,132.7,1.87,,,,,,,,,,,
618,132.8,1.87,,,,,,,,,,,
619,132.9,1.88,,,,,,,,,,,
620,133,1.87,,,,,,,,,,,
621,133.1,1.87,,,,,,,,,,,
622,133.2,1.87,,,,,,,,,,,
623,133.4,1.87,,,,,,,,,,,
624,133.5,1.87,,,,,,,,,,,
625,133.6,1.87,,,,,,,,,,,
626,133.7,1.87,,,,,,,,,,,
627,133.8,1.86,,,,,,,,,,,
628,133.9,1.86,,,,,,,,,,,
629,134.1,1.86,,,,,,,,,,,
630,134.2,1.86,,,,,,,,,,,
631,134.3,1.86,,,,,,,,,,,
632,134.4,1.85,,,,,,,,,,,
633,134.5,1.85,,,,,,,,,,,
634,134.6,1.85,,,,,,,,,,,
635,134.7,1.85,,,,,,,,,,,
636,134.9,1.85,,,,,,,,,,,
637,135,1.85,,,,,,,,,,,
638,135.1,1.85,,,,,,,,,,,
639,135.2,1.85,,,,,,,,,,,
640,135.3,1.85,,,,,,,,,,,
641,135.4,1.85,,,,,,,,,,,
642,135.5,1.85,,,,,,,,,,,
643,135.6,1.85,,,,,,,,,,,
644,135.7,1.85,,,,,,,,,,,
645,135.8,1.85,,,,,,,,,,,
646,136,1.85,,,,,,,,,,,
647,136.1,1.85,,,,,,,,,,,
648,136.2,1.85,,,,,,,,,,,
649,136.3,1.84,,,,,,,,,,,
650,136.4,1.84,,,,,,,,,,,
651,136.5,1.84,,,,,,,,,,,
652,136.7,1.84,,,,,,,,,,,
653,136.8,1.84,,,,,,,,,,,
654,136.9,1.84,,,,,,,,,,,
655,137,1.84,,,,,,,,,,,
656,137.1,1.84,,,,,,,,,,,
657,137.2,1.84,,,,,,,,,,,
658,137.3,1.84,,,,,,,,,,,
659,137.4,1.84,,,,,,,,,,,
660,137.6,1.84,,,,,,,,,,,
661,137.7,1.83,,,,,,,,,,,
662,137.8,1.83,,,,,,,,,,,
