Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
107.0009706,1.066,35,0.412,69.94483133,0.221491534,1.07
107.5016594,1.066,35,0.412,70.0621683,0.225426978,1.07
108.0010448,1.066,35,0.412,70.16274132,0.217060961,1.07
108.5005937,1.066,35,0.412,70.28007478,0.223697445,1.06
109.010906,1.066,35,0.412,70.3907018,0.214596365,1.06
109.5006313,1.066,35,0.412,70.49797498,0.228178004,1.07
110.0012825,1.066,35,0.412,70.61195113,0.220963154,1.07
110.5013003,1.065,35,0.412,70.71922134,0.219005194,1.07
111.0008745,1.065,35,0.412,70.82649017,0.2191968,1.06
111.5001082,1.066,35,0.412,70.94381389,0.221581425,1.06
112.0119364,1.065,35,0.412,71.11141649,0.255421097,1.06
112.5005066,1.066,35,0.412,71.21868053,0.267576935,1.07
113.0021379,1.066,35,0.412,71.32929527,0.256151886,1.07
113.502672,1.066,35,0.412,71.43990874,0.218761171,1.06
114.0017691,1.066,35,0.412,71.55387284,0.223865797,1.06
114.5013416,1.066,35,0.412,71.66783567,0.225886723,1.06
115.0114961,1.066,35,0.412,71.77844546,0.221198826,1.07
115.501096,1.066,35,0.412,71.88235061,0.223636848,1.07
116.0012531,1.066,35,0.412,71.99966171,0.221147868,1.07
116.5012758,1.066,35,0.412,72.11026823,0.221205157,1.06
117.0006971,1.066,35,0.412,72.2242254,0.228180597,1.08
117.501035,1.066,35,0.412,72.32812661,0.218828745,1.08
118.0027633,1.066,35,0.412,72.49905906,0.258301047,1.07
118.5011442,1.066,35,0.412,72.6063097,0.255550389,1.07
119.0017097,1.066,35,0.412,72.71355952,0.256664971,1.06
119.5020175,1.066,35,0.412,72.82751162,0.218833658,1.06
120.0001755,1.066,35,0.412,72.94146288,0.224261643,1.07
120.5013189,1.066,35,0.412,73.04871039,0.222924104,1.07
121.0011392,1.066,35,0.412,73.16266014,0.223512708,1.07
121.5133629,1.066,35,0.412,73.2699063,0.213736961,1.07
121.9998636,1.066,35,0.412,73.38050327,0.227332905,1.06
122.5012619,1.066,35,0.412,73.49780242,0.22280508,1.06
123.0017035,1.066,35,0.412,73.60504679,0.223229862,1.07
123.5006714,1.066,35,0.412,73.71229066,0.22164913,1.07
124.0012336,1.066,35,0.412,73.87315559,0.249954401,1.07
124.5054791,1.066,35,0.412,73.99045232,0.254773723,1.06
125.0005958,1.066,35,0.412,74.10104595,0.261726364,1.06
125.5010228,1.066,35,0.412,74.21834182,0.22992779,1.08
126.0010691,1.066,35,0.412,74.32558341,0.223400061,1.08
126.501277,1.066,35,0.412,74.42947343,0.218860646,1.06
127.0114741,1.066,35,0.412,74.54006576,0.210195826,1.06
127.5021245,1.066,35,0.412,74.64730658,0.218569173,1.07
128.0004313,1.066,35,0.412,74.76124973,0.221935789,1.07
128.512387,1.066,35,0.412,74.86513892,0.211654472,1.07
129.0014465,1.066,35,0.412,74.97908176,0.226131464,1.06
129.4999685,1.066,35,0.412,75.08967324,0.219598118,1.06
130.001976,1.066,35,0.412,75.25388471,0.258127485,1.07
130.5011272,1.066,35,0.412,75.36447608,0.257366435,1.07
131.0010526,1.066,35,0.412,75.47171621,0.254733334,1.07
131.5012705,1.066,35,0.412,75.58230765,0.218853244,1.08
132.0026166,1.066,35,0.412,75.68954791,0.216132677,1.1
132.5113504,1.066,35,0.412,75.80684208,0.2195817,1.08
133.0034211,1.066,35,0.412,75.91073134,0.222477316,1.07
133.5022402,1.066,35,0.412,75.96008059,0.180782089,1.07
134.0012212,1.066,35,0.412,76.13191551,0.217158192,1.06
134.5008893,1.066,35,0.412,76.17791369,0.178239873,1.06
135.0015919,1.066,35,0.412,76.34639811,0.257183603,1.07
135.5013261,1.066,35,0.412,76.46034246,0.219067771,1.07
136.0024662,1.066,35,0.412,76.6178544,0.292626552,1.07
136.5007594,1.065,35,0.412,76.67055585,0.216845405,1.06
137.0110002,1.066,35,0.412,76.83904279,0.247399746,1.06
137.5008519,1.066,35,0.412,76.94963767,0.225771229,1.07
138.001658,1.066,35,0.412,76.99898841,0.21860261,1.07
138.5109236,1.066,35,0.412,77.17082899,0.217166419,1.06
139.0020347,1.066,35,0.412,77.21682881,0.181351476,1.06
139.501282,1.066,35,0.412,77.32407413,0.217050554,1.08
140.0015738,1.066,35,0.412,77.49926888,0.218832207,1.09
140.501539,1.066,35,0.412,77.60316432,0.257574942,1.07
141.0009823,1.066,35,0.412,77.65251667,0.219205764,1.06
141.50156,1.066,35,0.412,77.82436317,0.216479412,1.06
142.0000172,1.066,35,0.412,77.92398923,0.214545275,1.06
142.5011005,1.066,35,0.412,78.03459051,0.254165179,1.07
143.0003414,1.066,35,0.412,78.13513785,0.207498155,1.07
143.5003831,1.066,35,0.412,78.25244398,0.218951565,1.07
144.0004535,1.066,35,0.412,78.35969618,0.216706633,1.06
