Time(s),CH1(V),CH2(V)
0.005047,1.648181,-0.016991
0.005047,1.648181,-0.017433
0.005047,1.648181,-0.019202
0.005048,1.648181,-0.021855
0.005048,1.648181,-0.023182
0.005048,1.607980,-0.021855
0.005048,1.607980,-0.019644
0.005048,1.607980,-0.017875
0.005048,1.607980,-0.017875
0.005049,1.607980,-0.018317
0.005049,1.607980,-0.019202
0.005049,1.607980,-0.020970
0.005049,1.607980,-0.021855
0.005049,1.567779,-0.021413
0.005049,1.567779,-0.019202
0.005050,1.567779,-0.017875
0.005050,1.567779,-0.017433
0.005050,1.567779,-0.017875
0.005050,1.567779,-0.018759
0.005050,1.567779,-0.020970
0.005050,1.527578,-0.022297
0.005050,1.527578,-0.022297
0.005051,1.527578,-0.020970
0.005051,1.527578,-0.017875
0.005051,1.527578,-0.015664
0.005051,1.527578,-0.015222
0.005051,1.527578,-0.016991
0.005051,1.527578,-0.018759
0.005052,1.487377,-0.020528
0.005052,1.487377,-0.021413
0.005052,1.487377,-0.021413
0.005052,1.487377,-0.020528
0.005052,1.487377,-0.018317
0.005052,1.487377,-0.016106
0.005052,1.487377,-0.014337
0.005053,1.447176,-0.015664
0.005053,1.447176,-0.018317
0.005053,1.447176,-0.020970
0.005053,1.447176,-0.021855
0.005053,1.447176,-0.020970
0.005053,1.447176,-0.018317
0.005054,1.447176,-0.016548
0.005054,1.447176,-0.015664
0.005054,1.447176,-0.016106
0.005054,1.406975,-0.016991
0.005054,1.406975,-0.018317
0.005054,1.406975,-0.019202
0.005055,1.406975,-0.018759
0.005055,1.406975,-0.017875
0.005055,1.406975,-0.016106
0.005055,1.406975,-0.015222
0.005055,1.406975,-0.015664
0.005055,1.406975,-0.017433
0.005055,1.366774,-0.018759
0.005056,1.366774,-0.019202
0.005056,1.366774,-0.018759
0.005056,1.366774,-0.017875
0.005056,1.366774,-0.016991
0.005056,1.366774,-0.015222
0.005056,1.366774,-0.013895
0.005057,1.366774,-0.014780
0.005057,1.366774,-0.016548
0.005057,1.326573,-0.017875
0.005057,1.326573,-0.018317
0.005057,1.326573,-0.017875
0.005057,1.326573,-0.016991
0.005057,1.326573,-0.016106
0.005058,1.326573,-0.015664
0.005058,1.326573,-0.015222
0.005058,1.326573,-0.015222
0.005058,1.326573,-0.016548
0.005058,1.286372,-0.017875
0.005058,1.286372,-0.018759
0.005059,1.286372,-0.017875
0.005059,1.286372,-0.016991
0.005059,1.286372,-0.014780
0.005059,1.286372,-0.014337
0.005059,1.286372,-0.014780
0.005059,1.286372,-0.016106
0.005060,1.246171,-0.016991
0.005060,1.246171,-0.016548
0.005060,1.246171,-0.016991
0.005060,1.246171,-0.017433
0.005060,1.246171,-0.016991
0.005060,1.246171,-0.015664
0.005060,1.246171,-0.013895
0.005061,1.246171,-0.014337
0.005061,1.246171,-0.015222
0.005061,1.205970,-0.016991
0.005061,1.205970,-0.016991
0.005061,1.205970,-0.016106
0.005061,1.205970,-0.015222
0.005062,1.205970,-0.015664
0.005062,1.205970,-0.016548
0.005062,1.205970,-0.016106
0.005062,1.205970,-0.014780
0.005062,1.205970,-0.013453
0.005062,1.205970,-0.013895
0.005063,1.165769,-0.015664
0.005063,1.165769,-0.016991
0.005063,1.165769,-0.017433
0.005063,1.165769,-0.017433
0.005063,1.165769,-0.016106
0.005063,1.165769,-0.015222
0.005063,1.165769,-0.013895
0.005064,1.165769,-0.012126
0.005064,1.165769,-0.011684
0.005064,1.165769,-0.012568
0.005064,1.165769,-0.014780
0.005064,1.125568,-0.016548
0.005064,1.125568,-0.017875
0.005065,1.125568,-0.017433
0.005065,1.125568,-0.015664
0.005065,1.125568,-0.013895
0.005065,1.125568,-0.012568
0.005065,1.125568,-0.012126
0.005065,1.125568,-0.012126
0.005065,1.125568,-0.013895
0.005066,1.125568,-0.015664
0.005066,1.085367,-0.016991
0.005066,1.085367,-0.016548
0.005066,1.085367,-0.014780
0.005066,1.085367,-0.012126
0.005066,1.085367,-0.010357
0.005067,1.085367,-0.011242
0.005067,1.085367,-0.012568
0.005067,1.085367,-0.014337
0.005067,1.085367,-0.016106
0.005067,1.085367,-0.017433
0.005067,1.045166,-0.016991
0.005067,1.045166,-0.014337
0.005068,1.045166,-0.010800
0.005068,1.045166,-0.009031
0.005068,1.045166,-0.009915
0.005068,1.045166,-0.013011
0.005068,1.045166,-0.015664
0.005068,1.045166,-0.016106
0.005069,1.045166,-0.015222
0.005069,1.045166,-0.014337
0.005069,1.004965,-0.013453
0.005069,1.004965,-0.012568
0.005069,1.004965,-0.012126
0.005069,1.004965,-0.013011
0.005070,1.004965,-0.014337
0.005070,1.004965,-0.014780
0.005070,1.004965,-0.014780
0.005070,1.004965,-0.013011
0.005070,1.004965,-0.011684
0.005070,1.004965,-0.011242
0.005070,1.004965,-0.012126
0.005071,1.004965,-0.013011
0.005071,1.004965,-0.013895
0.005071,1.004965,-0.013895
0.005071,0.964764,-0.013895
0.005071,0.964764,-0.013895
0.005071,0.964764,-0.013895
0.005072,0.964764,-0.013453
0.005072,0.964764,-0.013011
0.005072,0.964764,-0.013011
0.005072,0.964764,-0.013453
0.005072,0.964764,-0.013453
0.005072,0.964764,-0.012568
0.005072,0.964764,-0.010357
0.005073,0.964764,-0.009473
0.005073,0.924563,-0.010800
0.005073,0.924563,-0.012568
0.005073,0.924563,-0.013895
0.005073,0.924563,-0.015222
0.005073,0.924563,-0.015222
0.005074,0.924563,-0.014780
0.005074,0.924563,-0.013011
0.005074,0.924563,-0.010800
0.005074,0.924563,-0.009031
0.005074,0.924563,-0.009031
0.005074,0.924563,-0.010357
0.005075,0.884362,-0.012568
0.005075,0.884362,-0.013895
